stage,suite,world_index,method,backbone,expert_task,alpha,budget,found,cost,cost_ratio,oracle_cost,expansions,closed,roadmap_nodes,roadmap_edges,obstacle_count,side_len,heuristic_max,heuristic_min,heuristic_mean,heuristic_std,spearman_to_prm_oracle,heatmap_min,heatmap_max,heatmap_mean,heatmap_std,nonfinite_heuristic
c6,C_hard_maze,27,onlstm,onlstm,,0.0,128,0,nan,nan,2.6592636879175897,128,128,192,711,16,1.0,2.000283688531746,0.013565341935386617,0.9368123202990413,0.57648882451319,0.896744364267694,0.009814568795263767,1.0824319124221802,0.4558235093932126,0.3394092801579604,0
c6,C_hard_maze,27,onlstm,onlstm,,0.0,144,1,2.720168061091526,1.0229027205728625,2.6592636879175897,141,141,192,711,16,1.0,2.000283688531746,0.013565341935386617,0.9368123202990413,0.57648882451319,0.896744364267694,0.009814568795263767,1.0824319124221802,0.4558235093932126,0.3394092801579604,0
c6,C_hard_maze,27,onlstm,onlstm,,0.0,168,1,2.720168061091526,1.0229027205728625,2.6592636879175897,141,141,192,711,16,1.0,2.000283688531746,0.013565341935386617,0.9368123202990413,0.57648882451319,0.896744364267694,0.009814568795263767,1.0824319124221802,0.4558235093932126,0.3394092801579604,0
c6,C_hard_maze,27,hrm,hrm,,0.0,128,0,nan,nan,2.6592636879175897,128,128,192,711,16,1.0,2.377986290144046,0.0008908669984921526,0.9391883090208202,0.6091373961563129,0.9474235683476658,0.0005306164384819567,1.4367570877075195,0.4583050629007204,0.3712114432975818,0
c6,C_hard_maze,27,hrm,hrm,,0.0,144,1,2.668076211829887,1.0033138962308767,2.6592636879175897,142,142,192,711,16,1.0,2.377986290144046,0.0008908669984921526,0.9391883090208202,0.6091373961563129,0.9474235683476658,0.0005306164384819567,1.4367570877075195,0.4583050629007204,0.3712114432975818,0
c6,C_hard_maze,27,hrm,hrm,,0.0,168,1,2.668076211829887,1.0033138962308767,2.6592636879175897,142,142,192,711,16,1.0,2.377986290144046,0.0008908669984921526,0.9391883090208202,0.6091373961563129,0.9474235683476658,0.0005306164384819567,1.4367570877075195,0.4583050629007204,0.3712114432975818,0
c6,C_hard_maze,28,euclidean,,,0.0,128,1,2.002830010593567,1.0000000000000002,2.0028300105935664,125,125,192,685,22,1.0,1.0354417027499472,0.0,0.5359847790088998,0.2435991158050832,0.9359554295635192,0.0,1.0354417027499472,0.5359847790088998,0.2435991158050832,0
c6,C_hard_maze,28,euclidean,,,0.0,144,1,2.002830010593567,1.0000000000000002,2.0028300105935664,125,125,192,685,22,1.0,1.0354417027499472,0.0,0.5359847790088998,0.2435991158050832,0.9359554295635192,0.0,1.0354417027499472,0.5359847790088998,0.2435991158050832,0
c6,C_hard_maze,28,euclidean,,,0.0,168,1,2.002830010593567,1.0000000000000002,2.0028300105935664,125,125,192,685,22,1.0,1.0354417027499472,0.0,0.5359847790088998,0.2435991158050832,0.9359554295635192,0.0,1.0354417027499472,0.5359847790088998,0.2435991158050832,0
c6,C_hard_maze,28,grid_oracle,,,0.0,128,1,2.0047887830307194,1.000978002340085,2.0028300105935664,86,86,192,685,22,1.0,2.231588955253493,0.009037496262445288,0.9527900787545195,0.6117114670679183,0.9865447738925212,0.0,2.332757258691899,0.9817120108531748,0.6334835774751473,0
