provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
field_hrm,astar,,152,True,133,133,3.6582460520614486,3.6332055171452415,1.0068921328006466,0,C_hard_spiral,1
field_hrm,focal,1.0,152,True,146,146,3.633205517145241,3.6332055171452415,0.9999999999999999,0,C_hard_spiral,1
field_hrm,focal,1.1,152,True,145,145,3.6728179875689184,3.6332055171452415,1.010902898346032,0,C_hard_spiral,1
euclid,astar,,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
euclid,focal,1.0,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
euclid,focal,1.1,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
euclid,astar,,152,True,147,147,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
euclid,focal,1.0,152,True,147,147,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
euclid,focal,1.1,152,True,147,147,3.7716785827887693,3.739068502986363,1.008721444866913,0,C_hard_spiral,2
oracle,astar,,140,True,39,39,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
oracle,focal,1.0,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
oracle,focal,1.1,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
oracle,astar,,152,True,39,39,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
oracle,focal,1.0,152,True,147,147,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
oracle,focal,1.1,152,True,147,147,3.7707230405552785,3.739068502986363,1.008465888641418,0,C_hard_spiral,2
scalar_hrm,astar,,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
scalar_hrm,focal,1.0,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
scalar_hrm,focal,1.1,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
scalar_hrm,astar,,152,True,148,148,3.893304288209219,3.739068502986363,1.0412497885769327,0,C_hard_spiral,2
scalar_hrm,focal,1.0,152,True,147,147,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
scalar_hrm,focal,1.1,152,True,147,147,3.839875838683339,3.739068502986363,1.0269605479590604,0,C_hard_spiral,2
scalar_onlstm,astar,,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
scalar_onlstm,focal,1.0,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
scalar_onlstm,focal,1.1,140,False,140,140,nan,3.739068502986363,nan,0,C_hard_spiral,2
scalar_onlstm,astar,,152,True,147,147,3.878336787728701,3.739068502986363,1.037246786099561,0,C_hard_spiral,2
scalar_onlstm,focal,1.0,152,True,147,147,3.739068502986363,3.739068502986363,1.0,0,C_hard_spiral,2
