config,config_idx,K,world_idx,seed,arm,budget,found,cost,expansions,closed,opt_cost
C_hard_maze,0,2,5,31075907,h_next,1600,True,2.7610806684086406,404,404,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_legsum,1600,True,2.7610806684086406,281,281,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_oracle,1600,True,2.7610806684086406,27,27,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_next,3200,True,2.7610806684086406,404,404,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_legsum,3200,True,2.7610806684086406,281,281,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_oracle,3200,True,2.7610806684086406,27,27,2.7610806684086393
C_hard_maze,0,2,6,31107583,h_next,100,False,nan,100,100,5.73341784299122
C_hard_maze,0,2,6,31107583,h_legsum,100,False,nan,100,100,5.73341784299122
C_hard_maze,0,2,6,31107583,h_oracle,100,True,5.733417842991222,66,66,5.73341784299122
C_hard_maze,0,2,6,31107583,h_next,200,False,nan,200,200,5.73341784299122
C_hard_maze,0,2,6,31107583,h_legsum,200,False,nan,200,200,5.73341784299122
C_hard_maze,0,2,6,31107583,h_oracle,200,True,5.733417842991222,66,66,5.73341784299122
C_hard_maze,0,2,6,31107583,h_next,400,False,nan,400,400,5.73341784299122
C_hard_maze,0,2,6,31107583,h_legsum,400,False,nan,400,400,5.73341784299122
C_hard_maze,0,2,6,31107583,h_oracle,400,True,5.733417842991222,66,66,5.73341784299122
C_hard_maze,0,2,6,31107583,h_next,800,True,5.733417842991222,525,525,5.73341784299122
C_hard_maze,0,2,6,31107583,h_legsum,800,True,5.733417842991222,525,525,5.73341784299122
C_hard_maze,0,2,6,31107583,h_oracle,800,True,5.733417842991222,66,66,5.73341784299122
C_hard_maze,0,2,6,31107583,h_next,1600,True,5.733417842991222,525,525,5.73341784299122
C_hard_maze,0,2,6,31107583,h_legsum,1600,True,5.733417842991222,525,525,5.73341784299122
C_hard_maze,0,2,6,31107583,h_oracle,1600,True,5.733417842991222,66,66,5.73341784299122
C_hard_maze,0,2,6,31107583,h_next,3200,True,5.733417842991222,525,525,5.73341784299122
C_hard_maze,0,2,6,31107583,h_legsum,3200,True,5.733417842991222,525,525,5.73341784299122
C_hard_maze,0,2,6,31107583,h_oracle,3200,True,5.733417842991222,66,66,5.73341784299122
C_hard_maze,0,2,7,31115502,h_next,100,False,nan,100,100,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_legsum,100,False,nan,100,100,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_oracle,100,True,3.381872817833824,41,41,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_next,200,False,nan,200,200,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_legsum,200,False,nan,200,200,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_oracle,200,True,3.381872817833824,41,41,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_next,400,True,3.381872817833824,392,392,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_legsum,400,True,3.381872817833824,342,342,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_oracle,400,True,3.381872817833824,41,41,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_next,800,True,3.381872817833824,392,392,3.3818728178338247
C_hard_maze,0,2,7,31115502,h_legsum,800,True,3.381872817833824,342,342,3.3818728178338247
