target,backbone,awareness,arm,K,binding_budget,n_matched,exp_ratio_median,ci_lo,ci_hi,success
C_dyn_crossing,field_unet,blind,full_ft,4,150,9,0.21212121212121213,0.1232876712328767,0.3561643835616438,0.9666666666666667
C_dyn_crossing,field_unet,blind,full_ft,16,150,9,0.2214765100671141,0.15151515151515152,0.4228187919463087,0.9666666666666667
C_dyn_crossing,field_unet,blind,scratch,1,150,6,0.26174496644295303,0.1643835616438356,0.336214029603751,0.4666666666666667
C_dyn_crossing,field_unet,blind,scratch,4,150,8,0.20807388958073889,0.1342281879194631,0.3221476510067114,0.7833333333333333
C_dyn_crossing,field_unet,blind,scratch,16,150,9,0.22727272727272727,0.136986301369863,0.28859060402684567,0.95
C_dyn_rooms_large,scalar_hrm,aware,zero_shot,0,600,12,0.4862164218351893,0.35163765604199637,0.8217620751867327,0.95
C_dyn_rooms_large,scalar_hrm,aware,lora,1,600,36,0.3655386023265227,0.3007246376811594,0.4038876889848812,0.9833333333333333
C_dyn_rooms_large,scalar_hrm,aware,lora,4,600,35,0.2191780821917808,0.14832535885167464,0.2555831265508685,0.9666666666666667
C_dyn_rooms_large,scalar_hrm,aware,lora,16,600,36,0.17605229298777686,0.13100686498855835,0.18494751250383834,0.9833333333333333
C_dyn_rooms_large,scalar_hrm,aware,full_ft,1,600,36,0.22140060337633993,0.1740436088262175,0.38534278959810875,0.9333333333333333
C_dyn_rooms_large,scalar_hrm,aware,full_ft,4,600,36,0.21837088388214904,0.19553770012194396,0.2766262705092492,0.9666666666666667
C_dyn_rooms_large,scalar_hrm,aware,full_ft,16,600,36,0.16765640729806464,0.14122137404580154,0.21944444444444425,0.9833333333333333
C_dyn_rooms_large,scalar_hrm,aware,scratch,1,600,24,0.19142390971820933,0.1471861471861472,0.30137115504780765,0.5333333333333333
C_dyn_rooms_large,scalar_hrm,aware,scratch,4,600,33,0.13513513513513514,0.10510510510510511,0.16516516516516516,0.9166666666666666
C_dyn_rooms_large,scalar_hrm,aware,scratch,16,600,36,0.1297819558689124,0.11663066954643629,0.19141018245161584,0.9833333333333333
C_dyn_rooms_large,scalar_hrm,blind,zero_shot,0,600,12,0.5248917748917749,0.1388109734000145,0.889118710547282,0.9
C_dyn_rooms_large,scalar_hrm,blind,lora,1,600,35,0.30155979202772965,0.18899521531100477,0.5322896281800391,0.8833333333333333
C_dyn_rooms_large,scalar_hrm,blind,lora,4,600,36,0.18072390572390573,0.14492753623188406,0.2208717762573264,1.0
C_dyn_rooms_large,scalar_hrm,blind,lora,16,600,36,0.16433985810919083,0.1471861471861472,0.22592592592592592,1.0
C_dyn_rooms_large,scalar_hrm,blind,full_ft,1,600,36,0.25176421751764216,0.20845845845845845,0.31922295781229015,0.9666666666666667
C_dyn_rooms_large,scalar_hrm,blind,full_ft,4,600,36,0.1614331829547409,0.12612612612612611,0.22960068596816707,0.9833333333333333
C_dyn_rooms_large,scalar_hrm,blind,full_ft,16,600,36,0.20504114206404284,0.18509903706545333,0.2391304347826087,0.9833333333333333
C_dyn_rooms_large,scalar_hrm,blind,scratch,1,600,23,0.19047619047619047,0.16296296296296298,0.2857142857142857,0.5166666666666667
C_dyn_rooms_large,scalar_hrm,blind,scratch,4,600,36,0.13247370908661232,0.10382104217720656,0.16121262740794334,0.9666666666666667
C_dyn_rooms_large,scalar_hrm,blind,scratch,16,600,36,0.1471861471861472,0.12612612612612611,0.18268694396347834,1.0
C_dyn_rooms_large,scalar_onlstm,aware,zero_shot,0,600,9,0.8555555555555555,0.5264187866927593,1.5855855855855856,0.65
C_dyn_rooms_large,scalar_onlstm,aware,lora,1,600,35,0.42789598108747046,0.299412915851272,0.5563258232235702,0.9333333333333333
C_dyn_rooms_large,scalar_onlstm,aware,lora,4,600,35,0.1648148148148148,0.13043478260869565,0.2339688041594454,0.95
C_dyn_rooms_large,scalar_onlstm,aware,lora,16,600,36,0.15282993365185144,0.12903225806451613,0.22009569377990432,0.9833333333333333
C_dyn_rooms_large,scalar_onlstm,aware,full_ft,1,600,36,0.45503703218194924,0.32037037037037036,0.6227491180844917,0.9166666666666666
C_dyn_rooms_large,scalar_onlstm,aware,full_ft,4,600,36,0.21333888165195158,0.1526635330983157,0.29270813274279484,0.9833333333333333
C_dyn_rooms_large,scalar_onlstm,aware,full_ft,16,600,36,0.18487092461174534,0.13852813852813853,0.22010398613518198,0.9833333333333333
C_dyn_rooms_large,scalar_onlstm,aware,scratch,1,600,25,0.15459882583170254,0.1123860480771928,0.30849220103986136,0.55
C_dyn_rooms_large,scalar_onlstm,aware,scratch,4,600,36,0.13100686498855835,0.09669955317662286,0.2184572340102294,0.9666666666666667
C_dyn_rooms_large,scalar_onlstm,aware,scratch,16,600,36,0.13677874636778747,0.1232876712328767,0.19828424664004965,0.9833333333333333
C_dyn_rooms_large,scalar_onlstm,blind,zero_shot,0,600,12,0.7099752424179905,0.26385708271455866,0.9003414020695126,0.95
C_dyn_rooms_large,scalar_onlstm,blind,lora,1,600,36,0.47293604740413253,0.32876731693525585,0.6224838855836675,0.9333333333333333
