stage,suite,world_index,method,backbone,expert_task,alpha,budget,found,cost,cost_ratio,oracle_cost,expansions,closed,roadmap_nodes,roadmap_edges,obstacle_count,side_len,heuristic_max,heuristic_min,heuristic_mean,heuristic_std,spearman_to_prm_oracle,heatmap_min,heatmap_max,heatmap_mean,heatmap_std,nonfinite_heuristic
c6,C_hard_rooms,2,onlstm,onlstm,,0.0,144,1,6.2234265001928915,1.0484979017597396,5.935564095786787,129,129,192,574,48,2.0,4.97646196186162,0.03674416290015488,2.6068176507051914,1.4544454906484487,0.8635166020128585,0.005453724414110184,1.5705840587615967,0.727989932918149,0.46749367246337087,0
c6,C_hard_rooms,2,onlstm,onlstm,,0.0,168,1,6.2234265001928915,1.0484979017597396,5.935564095786787,129,129,192,574,48,2.0,4.97646196186162,0.03674416290015488,2.6068176507051914,1.4544454906484487,0.8635166020128585,0.005453724414110184,1.5705840587615967,0.727989932918149,0.46749367246337087,0
c6,C_hard_rooms,2,hrm,hrm,,0.0,128,1,6.263123658120344,1.0551859194926507,5.935564095786787,108,108,192,574,48,2.0,6.035829540496073,0.00024347810564709517,2.7698634242144755,1.7823029747768377,0.8603562515259204,7.995415217010304e-05,2.160883665084839,0.815058859734286,0.6317622824362423,0
c6,C_hard_rooms,2,hrm,hrm,,0.0,144,1,6.263123658120344,1.0551859194926507,5.935564095786787,108,108,192,574,48,2.0,6.035829540496073,0.00024347810564709517,2.7698634242144755,1.7823029747768377,0.8603562515259204,7.995415217010304e-05,2.160883665084839,0.815058859734286,0.6317622824362423,0
c6,C_hard_rooms,2,hrm,hrm,,0.0,168,1,6.263123658120344,1.0551859194926507,5.935564095786787,108,108,192,574,48,2.0,6.035829540496073,0.00024347810564709517,2.7698634242144755,1.7823029747768377,0.8603562515259204,7.995415217010304e-05,2.160883665084839,0.815058859734286,0.6317622824362423,0
c6,C_hard_rooms,3,euclidean,,,0.0,128,0,nan,nan,6.4535511653495385,128,128,192,605,38,2.0,1.8868220420691633,0.0,0.9700232264574046,0.466512223742177,0.9128224778232917,0.0,1.8868220420691633,0.9700232264574046,0.466512223742177,0
c6,C_hard_rooms,3,euclidean,,,0.0,144,1,6.453551165349536,0.9999999999999996,6.4535511653495385,140,140,192,605,38,2.0,1.8868220420691633,0.0,0.9700232264574046,0.466512223742177,0.9128224778232917,0.0,1.8868220420691633,0.9700232264574046,0.466512223742177,0
c6,C_hard_rooms,3,euclidean,,,0.0,168,1,6.453551165349536,0.9999999999999996,6.4535511653495385,140,140,192,605,38,2.0,1.8868220420691633,0.0,0.9700232264574046,0.466512223742177,0.9128224778232917,0.0,1.8868220420691633,0.9700232264574046,0.466512223742177,0
c6,C_hard_rooms,3,grid_oracle,,,0.0,128,1,6.453636274631282,1.000013187976598,6.4535511653495385,109,109,192,605,38,2.0,6.635374674898982,0.016318884054970836,2.8720857077630364,2.113942655938655,0.9932723869462606,0.0,6.762405300614692,3.0811144260737535,2.1259703439816446,0
c6,C_hard_rooms,3,grid_oracle,,,0.0,144,1,6.453636274631282,1.000013187976598,6.4535511653495385,109,109,192,605,38,2.0,6.635374674898982,0.016318884054970836,2.8720857077630364,2.113942655938655,0.9932723869462606,0.0,6.762405300614692,3.0811144260737535,2.1259703439816446,0
c6,C_hard_rooms,3,grid_oracle,,,0.0,168,1,6.453636274631282,1.000013187976598,6.4535511653495385,109,109,192,605,38,2.0,6.635374674898982,0.016318884054970836,2.8720857077630364,2.113942655938655,0.9932723869462606,0.0,6.762405300614692,3.0811144260737535,2.1259703439816446,0
c6,C_hard_rooms,3,unet,unet,,0.0,128,0,nan,nan,6.4535511653495385,128,128,192,605,38,2.0,6.062968250221607,0.10638736896672689,2.5498148829213716,1.7189707381911004,0.9856546537178201,0.02815387211740017,2.219522714614868,0.8434077705896925,0.6167671038883487,0
c6,C_hard_rooms,3,unet,unet,,0.0,144,1,6.596265879285335,1.022114136895987,6.4535511653495385,131,131,192,605,38,2.0,6.062968250221607,0.10638736896672689,2.5498148829213716,1.7189707381911004,0.9856546537178201,0.02815387211740017,2.219522714614868,0.8434077705896925,0.6167671038883487,0
c6,C_hard_rooms,3,unet,unet,,0.0,168,1,6.596265879285335,1.022114136895987,6.4535511653495385,131,131,192,605,38,2.0,6.062968250221607,0.10638736896672689,2.5498148829213716,1.7189707381911004,0.9856546537178201,0.02815387211740017,2.219522714614868,0.8434077705896925,0.6167671038883487,0
