provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
euclid,astar,,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
euclid,focal,1.0,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
euclid,focal,1.1,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
euclid,astar,,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
euclid,focal,1.0,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
euclid,focal,1.1,152,True,152,152,2.515369151895214,2.46436691880004,1.0206958763754255,0,C_hard_maze_dense,2
oracle,astar,,140,True,28,28,2.46436691880004,2.46436691880004,1.0,0,C_hard_maze_dense,2
oracle,focal,1.0,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
oracle,focal,1.1,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
oracle,astar,,152,True,28,28,2.46436691880004,2.46436691880004,1.0,0,C_hard_maze_dense,2
oracle,focal,1.0,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
oracle,focal,1.1,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
scalar_hrm,astar,,140,True,97,97,2.718994007742656,2.46436691880004,1.1033235298689208,0,C_hard_maze_dense,2
scalar_hrm,focal,1.0,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
scalar_hrm,focal,1.1,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
scalar_hrm,astar,,152,True,97,97,2.718994007742656,2.46436691880004,1.1033235298689208,0,C_hard_maze_dense,2
scalar_hrm,focal,1.0,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
scalar_hrm,focal,1.1,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
scalar_onlstm,astar,,140,True,112,112,2.5165353295739026,2.46436691880004,1.0211690923035375,0,C_hard_maze_dense,2
scalar_onlstm,focal,1.0,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
scalar_onlstm,focal,1.1,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
scalar_onlstm,astar,,152,True,112,112,2.5165353295739026,2.46436691880004,1.0211690923035375,0,C_hard_maze_dense,2
scalar_onlstm,focal,1.0,152,False,152,152,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
scalar_onlstm,focal,1.1,152,True,152,152,2.464805584358722,2.46436691880004,1.0001780033465535,0,C_hard_maze_dense,2
field_unet,astar,,140,True,121,121,2.5721690590893087,2.46436691880004,1.043744354571096,0,C_hard_maze_dense,2
field_unet,focal,1.0,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_unet,focal,1.1,140,False,140,140,nan,2.46436691880004,nan,0,C_hard_maze_dense,2
field_unet,astar,,152,True,121,121,2.5721690590893087,2.46436691880004,1.043744354571096,0,C_hard_maze_dense,2
