target,backbone,method,K,n_matched,exp_ratio_median,ci_lo,ci_hi,success
C_hard_bugtrap,onlstm,scratch,16,2,1.2571428571428571,1.0476190476190477,1.4666666666666666,0.022222222222222223
C_hard_bugtrap,unet,zero_shot,0,13,0.8095238095238095,0.5625,0.9333333333333333,0.6333333333333333
C_hard_bugtrap,unet,lora_bounded,1,36,0.7308488612836439,0.5767045454545454,0.8333333333333334,0.6
C_hard_bugtrap,unet,lora_bounded,4,36,0.7525879917184265,0.5767045454545454,0.8333333333333334,0.6
C_hard_bugtrap,unet,lora_bounded,16,36,0.7525879917184265,0.5767045454545454,0.8333333333333334,0.6
C_hard_bugtrap,unet,lora_unbounded,1,36,0.7525879917184265,0.5767045454545454,0.8333333333333334,0.6
C_hard_bugtrap,unet,lora_unbounded,4,36,0.7525879917184265,0.5767045454545454,0.8333333333333334,0.6
C_hard_bugtrap,unet,lora_unbounded,16,36,0.7525879917184265,0.5767045454545454,0.8333333333333334,0.6
C_hard_bugtrap,unet,full_ft,1,46,0.8857142857142857,0.8125,0.9545454545454546,0.7111111111111111
C_hard_bugtrap,unet,full_ft,4,44,0.9231884057971014,0.8452380952380952,0.9772727272727273,0.6666666666666666
C_hard_bugtrap,unet,full_ft,16,42,0.9772727272727273,0.8452380952380952,1.05,0.6444444444444445
C_hard_bugtrap,unet,scratch,1,30,1.0,0.9522727272727273,1.0454545454545454,0.4222222222222222
C_hard_bugtrap,unet,scratch,4,24,1.0645833333333332,0.9583333333333334,1.1055555555555556,0.3
C_hard_bugtrap,unet,scratch,16,36,1.05625,1.0,1.1,0.4888888888888889
C_hard_rooms_large,hrm,zero_shot,0,11,0.7714285714285715,0.6875,0.8936170212765957,0.9666666666666667
C_hard_rooms_large,hrm,lora_bounded,1,33,0.7659574468085106,0.7254901960784313,0.8888888888888888,0.9666666666666667
C_hard_rooms_large,hrm,lora_bounded,4,33,0.75,0.7254901960784313,0.8888888888888888,0.9333333333333333
C_hard_rooms_large,hrm,lora_bounded,16,30,0.9574468085106383,0.7810457516339869,1.0,0.7222222222222222
C_hard_rooms_large,hrm,lora_unbounded,1,33,0.7659574468085106,0.7254901960784313,0.8888888888888888,0.9666666666666667
C_hard_rooms_large,hrm,lora_unbounded,4,33,0.75,0.7142857142857143,0.8888888888888888,0.9333333333333333
C_hard_rooms_large,hrm,lora_unbounded,16,30,0.9574468085106383,0.7810457516339869,1.0,0.7222222222222222
C_hard_rooms_large,hrm,full_ft,1,29,1.0833333333333333,1.0555555555555556,1.1041666666666667,0.4111111111111111
C_hard_rooms_large,hrm,full_ft,4,32,0.5972222222222223,0.4963235294117647,0.6499999999999999,0.8666666666666667
C_hard_rooms_large,hrm,full_ft,16,33,0.49019607843137253,0.46511627906976744,0.5428571428571428,0.9111111111111111
C_hard_rooms_large,hrm,scratch,1,33,1.0277777777777777,1.0196078431372548,1.0465116279069768,0.36666666666666664
C_hard_rooms_large,hrm,scratch,4,30,0.6800664451827243,0.5437352245862884,0.75,0.5777777777777777
C_hard_rooms_large,hrm,scratch,16,32,0.6785714285714286,0.5957446808510638,0.7722222222222223,0.6555555555555556
C_hard_rooms_large,onlstm,zero_shot,0,11,0.75,0.5490196078431373,1.0833333333333333,1.0
C_hard_rooms_large,onlstm,lora_bounded,1,33,0.75,0.6078431372549019,0.9666666666666667,1.0
C_hard_rooms_large,onlstm,lora_bounded,4,33,0.8055555555555556,0.6458333333333334,0.9148936170212766,0.9666666666666667
C_hard_rooms_large,onlstm,lora_bounded,16,30,0.6094771241830066,0.5306633291614518,0.7857142857142858,0.6777777777777778
C_hard_rooms_large,onlstm,lora_unbounded,1,33,0.75,0.6078431372549019,0.9666666666666667,1.0
C_hard_rooms_large,onlstm,lora_unbounded,4,33,0.8055555555555556,0.6458333333333334,0.9148936170212766,0.9666666666666667
C_hard_rooms_large,onlstm,lora_unbounded,16,30,0.6372549019607843,0.5098039215686274,0.7714285714285715,0.6777777777777778
C_hard_rooms_large,onlstm,full_ft,1,33,0.7222222222222222,0.6470588235294118,0.8928571428571429,0.6666666666666666
C_hard_rooms_large,onlstm,full_ft,4,33,0.574468085106383,0.5098039215686274,0.6111111111111112,0.8555555555555555
C_hard_rooms_large,onlstm,full_ft,16,33,0.5,0.4666666666666667,0.5535714285714286,0.9111111111111111
C_hard_rooms_large,onlstm,scratch,1,33,1.0,1.0,1.0,0.36666666666666664
C_hard_rooms_large,onlstm,scratch,4,33,1.0,1.0,1.0,0.36666666666666664
C_hard_rooms_large,onlstm,scratch,16,33,0.7,0.6274509803921569,0.7916666666666666,0.6555555555555556
C_hard_rooms_large,unet,zero_shot,0,10,0.9820609094701711,0.6904761904761905,1.1666666666666667,0.6666666666666666
C_hard_rooms_large,unet,lora_bounded,1,30,0.9918648310387985,0.803921568627451,1.0930232558139534,0.6666666666666666
